Регион,Герой,Количество улиц
Republic of Adygea,Зоя Космодемьянская,4
Republic of Bashkortostan,Зоя Космодемьянская,19
Republic of Buryatia,Зоя Космодемьянская,3
Republic of Altai,Зоя Космодемьянская,0
Republic of Dagestan,Зоя Космодемьянская,20
Republic of Ingushetia,Зоя Космодемьянская,1
Kabardino-Balkarian Republic,Зоя Космодемьянская,0
Republic of Kalmykia,Зоя Космодемьянская,1
Karachay-Cherkess Republic,Зоя Космодемьянская,3
Republic of Karelia,Зоя Космодемьянская,0
Komi Republic,Зоя Космодемьянская,10
Republic of Crimea,Зоя Космодемьянская,0
Republic of Mari El,Зоя Космодемьянская,0
Republic of Mordovia,Зоя Космодемьянская,7
Republic of Sakha,Зоя Космодемьянская,0
Republic of North Ossetia-Alania,Зоя Космодемьянская,20
Republic of Tatarstan,Зоя Космодемьянская,22
Republic of Tuva,Зоя Космодемьянская,0
Udmurt Republic,Зоя Космодемьянская,3
Republic of Khakassia,Зоя Космодемьянская,4
Chechen Republic,Зоя Космодемьянская,4
Chuvash Republic,Зоя Космодемьянская,13
Altai Krai,Зоя Космодемьянская,17
Zabaykalsky Krai,Зоя Космодемьянская,3
Kamchatka Krai,Зоя Космодемьянская,0
Krasnodar Krai,Зоя Космодемьянская,32
Krasnoyarsk Krai,Зоя Космодемьянская,15
Perm Krai,Зоя Космодемьянская,31
Primorsky Krai,Зоя Космодемьянская,18
Stavropol Krai,Зоя Космодемьянская,20
Khabarovsk Krai,Зоя Космодемьянская,5
Amur Oblast,Зоя Космодемьянская,4
Arkhangelsk Oblast,Зоя Космодемьянская,4
Astrakhan Oblast,Зоя Космодемьянская,11
Belgorod Oblast,Зоя Космодемьянская,3
Bryansk Oblast,Зоя Космодемьянская,8
Vladimir Oblast,Зоя Космодемьянская,14
Volgograd Oblast,Зоя Космодемьянская,17
Vologda Oblast,Зоя Космодемьянская,0
Voronezh Oblast,Зоя Космодемьянская,26
Ivanovo Oblast,Зоя Космодемьянская,3
Irkutsk Oblast,Зоя Космодемьянская,25
Kaliningrad Oblast,Зоя Космодемьянская,16
Kaluga Oblast,Зоя Космодемьянская,5
Kemerovo Oblast,Зоя Космодемьянская,15
Kirov Oblast,Зоя Космодемьянская,11
Kostroma Oblast,Зоя Космодемьянская,3
Kurgan Oblast,Зоя Космодемьянская,4
Kursk Oblast,Зоя Космодемьянская,1
Leningrad Oblast,Зоя Космодемьянская,3
Lipetsk Oblast,Зоя Космодемьянская,17
Magadan Oblast,Зоя Космодемьянская,0
Moscow Oblast,Зоя Космодемьянская,10
Murmansk Oblast,Зоя Космодемьянская,11
Nizhny Novgorod Oblast,Зоя Космодемьянская,17
Novgorod Oblast,Зоя Космодемьянская,4
Novosibirsk Oblast,Зоя Космодемьянская,6
Omsk Oblast,Зоя Космодемьянская,3
Orenburg Oblast,Зоя Космодемьянская,10
Oryol Oblast,Зоя Космодемьянская,2
Penza Oblast,Зоя Космодемьянская,1
Pskov Oblast,Зоя Космодемьянская,1
Rostov Oblast,Зоя Космодемьянская,27
Ryazan Oblast,Зоя Космодемьянская,7
Samara Oblast,Зоя Космодемьянская,26
Saratov Oblast,Зоя Космодемьянская,9
Sakhalin Oblast,Зоя Космодемьянская,1
Sverdlovsk Oblast,Зоя Космодемьянская,31
Smolensk Oblast,Зоя Космодемьянская,10
Tambov Oblast,Зоя Космодемьянская,15
Tver Oblast,Зоя Космодемьянская,2
Tomsk Oblast,Зоя Космодемьянская,4
Tula Oblast,Зоя Космодемьянская,11
Tyumen Oblast,Зоя Космодемьянская,17
Ulyanovsk Oblast,Зоя Космодемьянская,13
Chelyabinsk Oblast,Зоя Космодемьянская,28
Yaroslavl Oblast,Зоя Космодемьянская,5
Moscow,Зоя Космодемьянская,29
Saint Petersburg,Зоя Космодемьянская,2
Sevastopol,Зоя Космодемьянская,0
Jewish Autonomous Oblast,Зоя Космодемьянская,1
Nenets Autonomous Okrug,Зоя Космодемьянская,0
Khanty-Mansi Autonomous Okrug,Зоя Космодемьянская,4
Chukotka Autonomous Okrug,Зоя Космодемьянская,0
Yamalo-Nenets Autonomous Okrug,Зоя Космодемьянская,2
