Регион,Герой,Название улицы,OSM ID
Republic of Adygea,Зоя Космодемьянская,улица З. Космодемьянской,217541821
Republic of Adygea,Зоя Космодемьянская,улица З. Космодемьянской,217541837
Republic of Adygea,Зоя Космодемьянская,улица З. Космодемьянской,218422212
Republic of Adygea,Зоя Космодемьянская,улица З. Космодемьянской,218422213
Republic of Bashkortostan,Зоя Космодемьянская,улица Зои Космодемьянской,40357974
Republic of Bashkortostan,Зоя Космодемьянская,улица Зои Космодемьянской,46676560
Republic of Bashkortostan,Зоя Космодемьянская,улица Зои Космодемьянской,106935564
Republic of Bashkortostan,Зоя Космодемьянская,улица Зои Космодемьянской,107067768
Republic of Bashkortostan,Зоя Космодемьянская,улица Зои Космодемьянской,110703718
Republic of Bashkortostan,Зоя Космодемьянская,улица Зои Космодемьянской,111377667
Republic of Bashkortostan,Зоя Космодемьянская,улица Космодемьянской,197372440
Republic of Bashkortostan,Зоя Космодемьянская,улица Космодемьянской,217455607
Republic of Bashkortostan,Зоя Космодемьянская,улица Зои Космодемьянской,271136379
Republic of Bashkortostan,Зоя Космодемьянская,улица Космодемьянской,292203533
Republic of Bashkortostan,Зоя Космодемьянская,улица Космодемьянской,374517472
Republic of Bashkortostan,Зоя Космодемьянская,улица Космодемьянской,520368133
Republic of Bashkortostan,Зоя Космодемьянская,улица Космодемьянской,711570908
Republic of Bashkortostan,Зоя Космодемьянская,улица Космодемьянской,711570920
Republic of Bashkortostan,Зоя Космодемьянская,улица Космодемьянской,711571052
Republic of Bashkortostan,Зоя Космодемьянская,улица Зои Космодемьянской,779957518
Republic of Bashkortostan,Зоя Космодемьянская,улица Космодемьянской,797222429
Republic of Bashkortostan,Зоя Космодемьянская,переулок Зои Космодемьянской,807330266
Republic of Bashkortostan,Зоя Космодемьянская,улица Зои Космодемьянской,841988343
Republic of Buryatia,Зоя Космодемьянская,улица Зои Космодемьянской,40570031
Republic of Buryatia,Зоя Космодемьянская,улица Зои Космодемьянской,72783032
Republic of Buryatia,Зоя Космодемьянская,улица Зои Космодемьянской,560526197
Republic of Dagestan,Зоя Космодемьянская,улица Космодемьянской,77360921
Republic of Dagestan,Зоя Космодемьянская,улица Зои Космодемьянской,82551836
Republic of Dagestan,Зоя Космодемьянская,улица Зои Космодемьянской,83171778
Republic of Dagestan,Зоя Космодемьянская,улица Зои Космодемьянской,84723480
Republic of Dagestan,Зоя Космодемьянская,улица Зои Космодемьянской,97330007
Republic of Dagestan,Зоя Космодемьянская,улица Зои Космодемьянской,156140724
